#TYPE Selected.System.String
"Alpha","NumberOfDetectors","Fi","Filtering","Value"
"1.33","180","180","True","51.07539318865513"
"1.33","180","225","False","1047.49843698351"
"1.33","180","225","True","45.030649955096536"
"1.33","180","270","False","871.180650020335"
"1.33","180","270","True","43.168783099435004"
"1.33","180","45","False","2026.9028562176704"
"1.33","180","45","True","103.69024725382657"
"1.33","180","90","False","1846.3814389936576"
"1.33","180","90","True","89.7305987746404"
"1.33","270","135","False","2489.865595194106"
"1.33","270","135","True","106.40006873052526"
"1.33","270","180","False","1980.3495487921691"
"1.33","270","180","True","75.46981219945982"
"1.33","270","225","False","1582.5027205209103"
"1.33","270","225","True","59.88562817709083"
"1.33","270","270","False","1317.102666805329"
"1.33","270","270","True","51.26128769523166"
"1.33","270","45","False","3050.4160973463995"
"1.33","270","45","True","149.41326248210424"
"1.33","270","90","False","2777.8601469808186"
"1.33","270","90","True","130.2436968383373"
"1.33","360","135","False","3326.786835345926"
"1.33","360","135","True","145.37189978764263"
"1.33","360","180","False","2650.086516306717"
"1.33","360","180","True","105.17744448185145"
"1.33","360","225","False","2116.0101100407105"
"1.33","360","225","True","81.19739134058717"
"1.33","360","270","False","1761.3162470900809"
"1.33","360","270","True","66.55586308039125"
"1.33","360","45","False","4076.1759061719226"
"1.33","360","45","True","198.16276426236075"
"1.33","360","90","False","3710.8161850312313"
"1.33","360","90","True","174.0970948055861"
"1.33","450","135","False","4164.7912053221935"
"1.33","450","135","True","185.80079337428097"
"1.33","450","180","False","3318.477681855814"
"1.33","450","180","True","136.74628368063276"
"1.33","450","225","False","2651.512986922543"
"1.33","450","225","True","105.25780227237418"
"1.33","450","270","False","2206.239946835309"
"1.33","450","270","True","85.11006014539657"
"1.33","450","45","False","5101.838320431195"
"1.33","450","45","True","248.09845651553078"
"1.33","450","90","False","4644.290356723824"
"1.33","450","90","True","219.29413834393907"
"1.33","540","135","False","5003.363324691225"
"1.33","540","135","True","226.90298353500017"
"1.33","540","180","False","3987.613544445701"
"1.33","540","180","True","169.16280312161626"
"1.33","540","225","False","3186.1127016240944"
"1.33","540","225","True","130.44345924710066"
"1.33","540","270","False","2652.5276072658294"
"1.33","540","270","True","105.30775700282726"
"1.33","540","45","False","6127.244013793352"
"1.33","540","45","True","298.6216908333169"
"1.33","540","90","False","5578.138755084823"
"1.33","540","90","True","265.15553780680267"
"1.33","90","135","False","817.0608927918878"
"1.33","90","135","True","49.51158136440902"
"1.33","90","180","False","647.2396839143673"
"1.33","90","180","True","43.53411646326511"
"1.33","90","225","False","516.2135138944027"
"1.33","90","225","True","45.72370887418927"
"1.33","90","270","False","429.2262675315305"
"1.33","90","270","True","47.85601090614446"
"1.33","90","45","False","1006.3333170975936"
"1.33","90","45","True","67.18762148483474"
"1.33","90","90","False","917.1504633731561"
"1.33","90","90","True","59.50265461553288"
"2.0","180","135","False","1094.9840283782999"
"2.0","180","135","True","52.94319192098504"
"2.0","180","180","False","868.0257962340653"
"2.0","180","180","True","44.40175005863253"
"2.0","180","225","False","692.7728023789538"
"2.0","180","225","True","44.01084887648872"
"2.0","180","270","False","576.2087491176195"
"2.0","180","270","True","44.89943885981408"
"2.0","180","45","False","1344.009546158512"
"2.0","180","45","True","73.69909372710586"
"2.0","180","90","False","1223.3441498121435"
"2.0","180","90","True","64.09680062441468"
"2.0","270","135","False","1651.3936491927077"
"2.0","270","135","True","69.73488576988542"
"2.0","270","180","False","1312.6292575388552"
"2.0","270","180","True","52.582179497203626"
"2.0","270","225","False","1047.4756694560224"
"2.0","270","225","True","46.51182348336028"
"2.0","270","270","False","869.291469942393"
"2.0","270","270","True","44.255242926263456"
"2.0","270","45","False","2025.5649879788566"
"2.0","270","45","True","99.43717137904525"
"2.0","270","90","False","1843.526286578933"
"2.0","270","90","True","85.63758184636244"
"2.0","360","135","False","2208.879558770895"
"2.0","360","135","True","92.24907318657564"
"2.0","360","180","False","1757.6897567198314"
"2.0","360","180","True","67.65239276374992"
"2.0","360","225","False","1403.1058190812043"
"2.0","360","225","True","55.25052679814431"
"2.0","360","270","False","1167.0354971336676"
"2.0","360","270","True","48.89564174310203"
"2.0","360","45","False","2709.1409365973022"
"2.0","360","45","True","129.3537462106579"
"2.0","360","90","False","2464.613892707279"
"2.0","360","90","True","111.91744576664625"
"2.0","450","135","False","2766.985071893744"
"2.0","450","135","True","117.22772158726116"
"2.0","450","180","False","2203.1621505357234"
"2.0","450","180","True","85.99004500360928"
"2.0","450","225","False","1758.643723311176"
"2.0","450","225","True","67.6724417041907"
"2.0","450","270","False","1462.7300829155456"
"2.0","450","270","True","57.12859026188828"
"2.0","450","45","False","3392.8529944038187"
"2.0","450","45","True","161.0990784484716"
"2.0","450","90","False","3086.607287808965"
"2.0","450","90","True","140.32022076114475"
"2.0","540","135","False","3325.2689724271786"
"2.0","540","135","True","143.39229752513162"
"2.0","540","180","False","2648.612986902065"
"2.0","540","180","True","105.93372585017497"
"2.0","540","225","False","2114.998393046313"
"2.0","540","225","True","82.2089846494816"
"2.0","540","270","False","1759.128532652657"
"2.0","540","270","True","67.67741617262544"
"2.0","540","45","False","4076.372783667021"
"2.0","540","45","True","193.76101175207626"
"2.0","540","90","False","3708.7595650122926"
"2.0","540","90","True","169.77832527326836"
"2.0","90","135","False","540.3765413190393"
"2.0","90","135","True","48.54346999532623"
"2.0","90","180","False","424.83637622311863"
"2.0","90","180","True","47.603762152075895"
"2.0","90","225","False","339.66432842617314"
"2.0","90","225","True","49.37184416126561"
"2.0","90","270","False","283.02894919006195"
"2.0","90","270","True","50.91302106264033"
"2.0","90","45","False","665.4292427371192"
"2.0","90","45","True","57.84183854075861"
"2.0","90","90","False","605.0483923188369"
"2.0","90","90","True","53.19389808172376"
"4.0","180","135","False","537.4992213644382"
"4.0","180","135","True","49.2611800886588"
"4.0","180","180","False","425.2626672937552"
"4.0","180","180","True","49.125837699408685"
"4.0","180","225","False","338.65610749583203"
"4.0","180","225","True","50.76427799494264"
"4.0","180","270","False","281.2227953595541"
"4.0","180","270","True","52.047332025352674"
"4.0","180","45","False","662.3295067953617"
"4.0","180","45","True","56.37346123980915"
"4.0","180","90","False","601.7375000284828"
"4.0","180","90","True","52.44076625065384"
"4.0","270","135","False","813.8536520735076"
"4.0","270","135","True","49.075280920080566"
"4.0","270","180","False","645.380224469259"
"4.0","270","180","True","46.74049820605775"
"4.0","270","225","False","513.8561847465171"
"4.0","270","225","True","47.88651574051204"
"4.0","270","270","False","425.9503160045956"
"4.0","270","270","True","49.08064058670923"
"4.0","270","45","False","1001.498886992561"
"4.0","270","45","True","61.464922844768054"
"4.0","270","90","False","909.9838645610972"
"4.0","270","90","True","54.82518904889778"
"4.0","360","135","False","1091.3591762216677"
"4.0","360","135","True","52.76784053858739"
"4.0","360","180","False","866.4405379476592"
"4.0","360","180","True","46.998705877783266"
"4.0","360","225","False","690.3732988020057"
"4.0","360","225","True","46.5704475533523"
"4.0","360","270","False","573.1786410086777"
"4.0","360","270","True","47.26849293098246"
"4.0","360","45","False","1343.0420006971167"
"4.0","360","45","True","70.56707609464529"
"4.0","360","90","False","1219.399206806762"
"4.0","360","90","True","61.24689334453687"
"4.0","450","135","False","1369.5043688254596"
"4.0","450","135","True","59.63043848216189"
"4.0","450","180","False","1088.1919648291664"
"4.0","450","180","True","49.78912478253536"
"4.0","450","225","False","866.896873126142"
"4.0","450","225","True","47.00966612021682"
"4.0","450","270","False","719.9670392995993"
"4.0","450","270","True","46.54514341459329"
"4.0","450","45","False","1684.6763518892942"
"4.0","450","45","True","82.31030029616663"
"4.0","450","90","False","1529.5402079177459"
"4.0","450","90","True","70.63336691443283"
"4.0","540","135","False","1647.880208315657"
"4.0","540","135","True","68.70428172581367"
"4.0","540","180","False","1310.1582498665953"
"4.0","540","180","True","54.796877392799566"
"4.0","540","225","False","1044.4487673400895"
"4.0","540","225","True","49.08211812663346"
"4.0","540","270","False","867.1803035488472"
"4.0","540","270","True","46.99128603511092"
"4.0","540","45","False","2026.2073108643838"
"4.0","540","45","True","95.7203683644331"
"4.0","540","90","False","1840.0516510608984"
"4.0","540","90","True","81.96986597071707"
"4.0","90","135","False","263.9486840597565"
"4.0","90","135","True","53.4218216094704"
"4.0","90","180","False","208.19611779297074"
"4.0","90","180","True","54.08325035403433"
"4.0","90","225","False","167.7650561654568"
"4.0","90","225","True","55.29091585162172"
"4.0","90","270","False","141.35078149442754"
"4.0","90","270","True","56.171225139135885"
"4.0","90","45","False","326.6559038203726"
"4.0","90","45","True","56.29828346944727"
"4.0","90","90","False","296.8321457693766"
"4.0","90","90","True","54.56825049179207"
